bistro_name,score,content,category,like,comment
옥돌,5.0,"차돌부추파스타 / 채끝 스테이크 주문

차돌 부추 파스타 처음 입에 넣고 씹기전에 깜짝놀람.. 차돌이 입천장에 닿자마자 존재감을 과시하는데, 보통 녀석이 아니구나라는게 느껴지는 느낌이었음. 그리고 차돌두께가 너무 얇지않고 두께감이 있었는데 씹는 즐거움을 주는 두께감이었음. 보통녀석이 아님..

스테이크는 감자퓌레랑 무슨 소꼬리?로 만든 소스 같이 주셨는데 그릇에 남아있는 소스 한방울도 용서하지않고 다 긁어서 먹고나왔음. 소스조차 긁어먹었는데 메인은 말해뭐해~~

아참 그리고 소꼬리 소스인지 어떻게 아냐구요? 셰프?님이 나와서 메뉴설명해주십니다. 거기서 어랍쇼? 순간 고급 레스토랑온줄~( 고급 레스토랑에서도 이런서비스 못받아보긴했음ㅋㅋ) 아무튼 담에 또갈 의향 2890%",파스타 ,1,0
도쿄등심 서여의도점,5.0,"믿고 먹는 도쿄등심!!!
서여의도 점은 특히 전석 룸이라서 너무 좋아요 룸은항상 예약 하기 힘든데 여기는 그냥 예약 되면 다 룸인 거예요!!
코스에 회도 있어서 모신분이 되게 좋아하시더라고요 고기 말고 회 좋아 하시는 분도 만족할 수 있는 코스였고, 와인페어링은 처음 해 봤는데 와인 셋 다 정말 맛있어서 완전 만족했습니다!!
스키야키도 고기랑 채소가 정말 신선하고 질이 좋았어요 디저트도최공ㅎㅎ",소고기구이 ,0,0
바깥,5.0,"발렌타인 기념으로 방문했는데
서비스도 너무 좋고 맛도 너무 좋은데
그에 비해 가격도 너무 좋고
분위기도 아늑하고 좋아요,,
다음 제 생일때도 오자고 약속했어요!",와인 ,1,0
스시미야비,4.8,"두번째 방문인데 너무 잘먹었습니다 ㅎㅎ
첫방문때 맛있게 먹은 기억으로 또찾았는데 역시 맛있고 쉐프님 설명도 잘해주셔서 좋았어요
뒤에 서버분이 실수가 몇번 있었는데 일하신지 얼마 안된것같아서 그런것같고 다음에 갈땐 잘 부탁드려요 ㅎㅎ",스시오마카세 ,0,0
루젤라,4.7,"좋은 재료와 정성을 들인 레시피, 페어링한 와인까지 완벽하고...
피에르 가니에르 출신 셰프님 답게 제대로 된 음식이었네요..
맛있었고 즐거운 시간이었습니다.. 또 가겠습니다..",다이닝바 ,0,0
스시도원,5.0,"친구추천으로 다녀왔어요
남친생일이라 한달전에 예약해놓고
2/14 점심 방문했는데 사장님 엄청 친절하셨고
메뉴 설명도 잘 해주시고!
저희가 좀 늦게 도착했는데도 양해해주시고
저는 음식나오는 속도도 괜찮았어요
이 가격에 나오는 종류가 엄청 많아요...
진짜 혜자스러워요 감덩
배부르게 잘먹고 나왔어요 재방문의사 완전 있어요.❤️",스시오마카세 ,2,0
목연,5.0,"엄마랑 큰누나 데리고 한우 오마카세를 알아보던중 예약을 하게 되었어요! 오마카세라해서 양이 적을줄 알았는데 고기만 먹어도 배불러서 끝난줄 알았더니 그 뒤에 또 식사랑 디저트까지 나오더라구요 . 풍족하게 너무 잘먹었습니다!!! 새로운 음식들로 다양하게 나와서 먹는내내 질리지도 않고, 음미하며, 구경하며 먹을 수 았었습니다 고기도 고기에 따라 적정 굽기로 구워줘서 너무 맛있게 먹었습니다 진짜 리뷰 잘 안남기는데,,, 여기는 남겨야될것 같아서 남겨요,,,,",한우오마카세 ,1,0
한우오마카세 우정담,5.0,"전체적으로 너무 만족한 저녁시간 보냈습니다~!

마지막 디너타임 시작보다 20분 정도 일찍 도착했는데 바로 안내 도와주시고 계속 불편한 점이나 음식 만족도 중간중간 체크 해주시는 부분도 좋았습니다.

아무래도 소고기를 이용한 코스요리라서 물릴 수도 있을 것 같아 걱정했는데 그런 걱정이 무색할 정도로 입가심용으로 나오는 음식들이 있어서 끝까지 맛있게 즐길 수 있었어요🥹

제일 좋았던 점은 위생적으로 음식을 만드시는 모습을 직접 볼 수 있던 점과 팀별로 음식 먹는 속도에 맞춰서 그 다음 코스를 주시는 부분이었습니다👍

접시에서 음식이 사라졌다고 해서 바로 다음 코스를 준비해주시는게 아니라 천천히 즐길 수 있도록 충분한 시간을 주시고 입 안에 음식이 완전히 사라진 후에 다음 코스를 진행해주셔서 너무 좋았습니다♥︎

전체적인 양도 성인 남자 기준으로 든든하게 먹고 나올 수 있을 정도의 양이라서 더욱 만족스러웠던 것 같아요.

테이블과 바 형식으로 장소 또한 나눠져서 한 장소에서 두 가지 분위기를 즐길 수 있다는 점도 좋았습니다.

조금 아쉬운 부분은 음식을 담고 그릇을 한 번 닦아 깔끔하게 플레이팅을 했으면 좋았지 않을까 생각했어요🥲

하지만 전반적으로 깔끔하고 음식 퀄리티도 높아서 만족스러웠습니다🫶🏻

스테이크를 중심으로 나오지만 같이 곁들여 먹을 수 있는 반찬들이 궁채 장아찌, 백김치, 명이나물로 구성되어 있던 점도 좋았습니다! 부모님 모시고 와도 정말 좋아하실 것 같았어요.

색다르고 즐거운 경험 할 수 있도록 노력해주신 쉐프님들 정말 감사합니다🤍",한우오마카세 ,1,0
dooop,5.0,뇨끼 꼭드세요 저세상 뇨끼입니다 둘이먹다가 한명 죽어도 모릅니다. 셰프님이 와인도 취향에 맞게 잘 추천 해주십니다. 와인 잘 모르시지만 마셔보시고싶으신분들 강추합니다.,다이닝바 ,0,0
초승달,5.0,"추천 받아서 간 곳인데 너무너무너무너무 맛있었어요:) 직원분들도 친절하시고 음식 설명도 잘해주시고 특별한 날, 특별하게 잘 보냈습니다:) 감사합니다^^",퓨전음식 ,1,0
